Conditionnement;Trafic;Sens;Port;Opérateur;Unité;Sous_Catégorie;Mois;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;;;;295;;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;;;;130;;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;;;;;281;;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;;;;;226;;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;;;;;;213;;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;;;;;;400;;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;;;;;;151;;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;;;;;75;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;;;;;84;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;;;;;86;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;;;;;94;;;;;
Conteneurs;20' Plein;Cabotage-Import;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;;;;;202;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;316;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;373;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;324;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;253;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;273;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;332;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;311;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;206;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;387;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;360;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;510;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;534;;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;293;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;497;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;512;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;455;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;446;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;469;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;326;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;365;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;440;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;429;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;368;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;349;;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;343;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;454;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;404;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;358;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;486;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;290;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;432;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;405;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;288;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;577;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;469;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;468;;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;460;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;442;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;604;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;401;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;481;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;559;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;550;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;631;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;325;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;675;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;;580;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;439;;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;539;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;465;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;318;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;406;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;318;;;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;245;;;;;;;;;;
